device_code,Auto filled link for health check ,timezone,MP type
300345-107,"""https://us.dunkindonuts.switchboardcms.com/device/300345-107/screenshot/"",",America/New_York,ODMB
300345-108,"""https://us.dunkindonuts.switchboardcms.com/device/300345-108/screenshot/"",",America/New_York,ODMB
300348-107,"""https://us.dunkindonuts.switchboardcms.com/device/300348-107/screenshot/"",",America/New_York,ODMB
300348-108,"""https://us.dunkindonuts.switchboardcms.com/device/300348-108/screenshot/"",",America/New_York,ODMB
300354-31,"""https://us.dunkindonuts.switchboardcms.com/device/300354-31/screenshot/"",",America/New_York,DD FC
300354-32,"""https://us.dunkindonuts.switchboardcms.com/device/300354-32/screenshot/"",",America/New_York,DD FC
300354-33,"""https://us.dunkindonuts.switchboardcms.com/device/300354-33/screenshot/"",",America/New_York,DD FC
300354-34,"""https://us.dunkindonuts.switchboardcms.com/device/300354-34/screenshot/"",",America/New_York,DD FC
300365-31,"""https://us.dunkindonuts.switchboardcms.com/device/300365-31/screenshot/"",",America/New_York,DD FC
300365-32,"""https://us.dunkindonuts.switchboardcms.com/device/300365-32/screenshot/"",",America/New_York,DD FC
300365-33,"""https://us.dunkindonuts.switchboardcms.com/device/300365-33/screenshot/"",",America/New_York,DD FC
300365-34,"""https://us.dunkindonuts.switchboardcms.com/device/300365-34/screenshot/"",",America/New_York,DD FC
300372-107,"""https://us.dunkindonuts.switchboardcms.com/device/300372-107/screenshot/"",",America/New_York,ODMB
300372-108,"""https://us.dunkindonuts.switchboardcms.com/device/300372-108/screenshot/"",",America/New_York,ODMB
300374-31,"""https://us.dunkindonuts.switchboardcms.com/device/300374-31/screenshot/"",",America/New_York,DD FC
300374-32,"""https://us.dunkindonuts.switchboardcms.com/device/300374-32/screenshot/"",",America/New_York,DD FC
300374-33,"""https://us.dunkindonuts.switchboardcms.com/device/300374-33/screenshot/"",",America/New_York,DD FC
300374-34,"""https://us.dunkindonuts.switchboardcms.com/device/300374-34/screenshot/"",",America/New_York,DD FC
300380-107,"""https://us.dunkindonuts.switchboardcms.com/device/300380-107/screenshot/"",",America/New_York,ODMB
300380-108,"""https://us.dunkindonuts.switchboardcms.com/device/300380-108/screenshot/"",",America/New_York,ODMB
300380-31,"""https://us.dunkindonuts.switchboardcms.com/device/300380-31/screenshot/"",",America/New_York,DD FC
300380-32,"""https://us.dunkindonuts.switchboardcms.com/device/300380-32/screenshot/"",",America/New_York,DD FC
300380-33,"""https://us.dunkindonuts.switchboardcms.com/device/300380-33/screenshot/"",",America/New_York,DD FC
300380-34,"""https://us.dunkindonuts.switchboardcms.com/device/300380-34/screenshot/"",",America/New_York,DD FC
300390-107,"""https://us.dunkindonuts.switchboardcms.com/device/300390-107/screenshot/"",",America/New_York,ODMB
300390-108,"""https://us.dunkindonuts.switchboardcms.com/device/300390-108/screenshot/"",",America/New_York,ODMB
300390-31,"""https://us.dunkindonuts.switchboardcms.com/device/300390-31/screenshot/"",",America/New_York,DD FC
300390-32,"""https://us.dunkindonuts.switchboardcms.com/device/300390-32/screenshot/"",",America/New_York,DD FC
300390-33,"""https://us.dunkindonuts.switchboardcms.com/device/300390-33/screenshot/"",",America/New_York,DD FC
300390-34,"""https://us.dunkindonuts.switchboardcms.com/device/300390-34/screenshot/"",",America/New_York,DD FC
300397-31,"""https://us.dunkindonuts.switchboardcms.com/device/300397-31/screenshot/"",",America/New_York,DD FC
300397-32,"""https://us.dunkindonuts.switchboardcms.com/device/300397-32/screenshot/"",",America/New_York,DD FC
300397-33,"""https://us.dunkindonuts.switchboardcms.com/device/300397-33/screenshot/"",",America/New_York,DD FC
300397-34,"""https://us.dunkindonuts.switchboardcms.com/device/300397-34/screenshot/"",",America/New_York,DD FC
300398-107,"""https://us.dunkindonuts.switchboardcms.com/device/300398-107/screenshot/"",",America/New_York,ODMB
300398-108,"""https://us.dunkindonuts.switchboardcms.com/device/300398-108/screenshot/"",",America/New_York,ODMB
300399-31,"""https://us.dunkindonuts.switchboardcms.com/device/300399-31/screenshot/"",",America/New_York,DD FC
300399-32,"""https://us.dunkindonuts.switchboardcms.com/device/300399-32/screenshot/"",",America/New_York,DD FC
300399-33,"""https://us.dunkindonuts.switchboardcms.com/device/300399-33/screenshot/"",",America/New_York,DD FC
300399-34,"""https://us.dunkindonuts.switchboardcms.com/device/300399-34/screenshot/"",",America/New_York,DD FC
300411-107,"""https://us.dunkindonuts.switchboardcms.com/device/300411-107/screenshot/"",",America/New_York,ODMB
300411-108,"""https://us.dunkindonuts.switchboardcms.com/device/300411-108/screenshot/"",",America/New_York,ODMB
300415-107,"""https://us.dunkindonuts.switchboardcms.com/device/300415-107/screenshot/"",",America/Chicago,ODMB
300415-108,"""https://us.dunkindonuts.switchboardcms.com/device/300415-108/screenshot/"",",America/Chicago,ODMB
300420-107,"""https://us.dunkindonuts.switchboardcms.com/device/300420-107/screenshot/"",",America/New_York,ODMB
300420-108,"""https://us.dunkindonuts.switchboardcms.com/device/300420-108/screenshot/"",",America/New_York,ODMB
300428-31,"""https://us.dunkindonuts.switchboardcms.com/device/300428-31/screenshot/"",",America/New_York,DD FC
300428-32,"""https://us.dunkindonuts.switchboardcms.com/device/300428-32/screenshot/"",",America/New_York,DD FC
300428-33,"""https://us.dunkindonuts.switchboardcms.com/device/300428-33/screenshot/"",",America/New_York,DD FC
300428-34,"""https://us.dunkindonuts.switchboardcms.com/device/300428-34/screenshot/"",",America/New_York,DD FC
300450-31,"""https://us.dunkindonuts.switchboardcms.com/device/300450-31/screenshot/"",",America/New_York,DD FC
300450-32,"""https://us.dunkindonuts.switchboardcms.com/device/300450-32/screenshot/"",",America/New_York,DD FC
300450-33,"""https://us.dunkindonuts.switchboardcms.com/device/300450-33/screenshot/"",",America/New_York,DD FC
300450-34,"""https://us.dunkindonuts.switchboardcms.com/device/300450-34/screenshot/"",",America/New_York,DD FC
300452-107,"""https://us.dunkindonuts.switchboardcms.com/device/300452-107/screenshot/"",",America/New_York,ODMB
300452-108,"""https://us.dunkindonuts.switchboardcms.com/device/300452-108/screenshot/"",",America/New_York,ODMB
300452-31,"""https://us.dunkindonuts.switchboardcms.com/device/300452-31/screenshot/"",",America/New_York,DD FC
300452-32,"""https://us.dunkindonuts.switchboardcms.com/device/300452-32/screenshot/"",",America/New_York,DD FC
300452-33,"""https://us.dunkindonuts.switchboardcms.com/device/300452-33/screenshot/"",",America/New_York,DD FC
300452-34,"""https://us.dunkindonuts.switchboardcms.com/device/300452-34/screenshot/"",",America/New_York,DD FC
300459-31,"""https://us.dunkindonuts.switchboardcms.com/device/300459-31/screenshot/"",",America/New_York,DD FC
300459-32,"""https://us.dunkindonuts.switchboardcms.com/device/300459-32/screenshot/"",",America/New_York,DD FC
300459-33,"""https://us.dunkindonuts.switchboardcms.com/device/300459-33/screenshot/"",",America/New_York,DD FC
300459-34,"""https://us.dunkindonuts.switchboardcms.com/device/300459-34/screenshot/"",",America/New_York,DD FC
300460-107,"""https://us.dunkindonuts.switchboardcms.com/device/300460-107/screenshot/"",",America/New_York,ODMB
300460-108,"""https://us.dunkindonuts.switchboardcms.com/device/300460-108/screenshot/"",",America/New_York,ODMB
300460-30,"""https://us.dunkindonuts.switchboardcms.com/device/300460-30/screenshot/"",",America/New_York,OSB
300460-31,"""https://us.dunkindonuts.switchboardcms.com/device/300460-31/screenshot/"",",America/New_York,DD FC
300460-32,"""https://us.dunkindonuts.switchboardcms.com/device/300460-32/screenshot/"",",America/New_York,DD FC
300460-33,"""https://us.dunkindonuts.switchboardcms.com/device/300460-33/screenshot/"",",America/New_York,DD FC
300460-34,"""https://us.dunkindonuts.switchboardcms.com/device/300460-34/screenshot/"",",America/New_York,DD FC
300461-31,"""https://us.dunkindonuts.switchboardcms.com/device/300461-31/screenshot/"",",America/New_York,DD FC
300461-32,"""https://us.dunkindonuts.switchboardcms.com/device/300461-32/screenshot/"",",America/New_York,DD FC
300461-33,"""https://us.dunkindonuts.switchboardcms.com/device/300461-33/screenshot/"",",America/New_York,DD FC
300461-34,"""https://us.dunkindonuts.switchboardcms.com/device/300461-34/screenshot/"",",America/New_York,DD FC
300476-107,"""https://us.dunkindonuts.switchboardcms.com/device/300476-107/screenshot/"",",America/New_York,ODMB
300476-108,"""https://us.dunkindonuts.switchboardcms.com/device/300476-108/screenshot/"",",America/New_York,ODMB
300476-31,"""https://us.dunkindonuts.switchboardcms.com/device/300476-31/screenshot/"",",America/New_York,DD FC
300476-32,"""https://us.dunkindonuts.switchboardcms.com/device/300476-32/screenshot/"",",America/New_York,DD FC
300476-33,"""https://us.dunkindonuts.switchboardcms.com/device/300476-33/screenshot/"",",America/New_York,DD FC
300476-34,"""https://us.dunkindonuts.switchboardcms.com/device/300476-34/screenshot/"",",America/New_York,DD FC
300477-107,"""https://us.dunkindonuts.switchboardcms.com/device/300477-107/screenshot/"",",America/New_York,ODMB
300477-108,"""https://us.dunkindonuts.switchboardcms.com/device/300477-108/screenshot/"",",America/New_York,ODMB
300478-107,"""https://us.dunkindonuts.switchboardcms.com/device/300478-107/screenshot/"",",America/New_York,ODMB
300478-108,"""https://us.dunkindonuts.switchboardcms.com/device/300478-108/screenshot/"",",America/New_York,ODMB
300479-107,"""https://us.dunkindonuts.switchboardcms.com/device/300479-107/screenshot/"",",America/New_York,ODMB
300479-108,"""https://us.dunkindonuts.switchboardcms.com/device/300479-108/screenshot/"",",America/New_York,ODMB
300480-107,"""https://us.dunkindonuts.switchboardcms.com/device/300480-107/screenshot/"",",America/New_York,ODMB
